State,County,"INVENTORY OF HOGS: (1,000 OR MORE HEAD)"
NEBRASKA,THOMAS,"35,100"
IOWA,DALLAS,"35,460"
ILLINOIS,ROCK ISLAND,"35,776"
NORTH DAKOTA,TOWNER,"36,087"
KANSAS,MCPHERSON,"36,307"
IOWA,WOODBURY,"36,313"
VIRGINIA,SOUTHAMPTON,"36,493"
MINNESOTA,OLMSTED,"36,518"
NORTH CAROLINA,HALIFAX,"37,000"
PENNSYLVANIA,CUMBERLAND,"37,450"
MISSOURI,CAMDEN,"37,500"
NEBRASKA,POLK,"37,798"
OHIO,CLINTON,"38,240"
INDIANA,LAGRANGE,"38,330"
NEBRASKA,PIERCE,"38,517"
INDIANA,ALLEN,"39,000"
IOWA,WORTH,"39,392"
MINNESOTA,WABASHA,"39,740"
IOWA,LUCAS,"39,834"
INDIANA,KNOX,"40,110"
NEBRASKA,MADISON,"40,630"
IOWA,DES MOINES,"40,845"
MICHIGAN,GRATIOT,"40,900"
MISSOURI,BATES,"40,968"
MISSOURI,PIKE,"41,100"
PENNSYLVANIA,BRADFORD,"41,666"
OHIO,CLARK,"42,000"
ILLINOIS,RICHLAND,"42,150"
OHIO,RICHLAND,"42,246"
OHIO,CHAMPAIGN,"42,990"
MISSOURI,GRUNDY,"43,120"
INDIANA,JACKSON,"43,480"
OHIO,WYANDOT,"43,530"
INDIANA,NOBLE,"44,166"
PENNSYLVANIA,FULTON,"44,268"
MONTANA,CASCADE,"44,649"
NORTH CAROLINA,RICHMOND,"44,991"
INDIANA,CASS,"45,942"
NEBRASKA,DIXON,"46,200"
MICHIGAN,HURON,"46,280"
MISSOURI,CHARITON,"46,530"
NEBRASKA,DODGE,"46,738"
SOUTH DAKOTA,SPINK,"47,045"
ILLINOIS,WARREN,"47,590"
MICHIGAN,IONIA,"47,800"
NEBRASKA,ADAMS,"48,272"
IOWA,ADAMS,"48,753"
MICHIGAN,OCEANA,"49,597"
ILLINOIS,TAZEWELL,"50,008"
ILLINOIS,FORD,"50,100"
IOWA,ADAIR,"50,134"
NORTH CAROLINA,CRAVEN,"50,500"
NEBRASKA,OTOE,"50,610"
SOUTH DAKOTA,MARSHALL,"51,042"
OHIO,PAULDING,"51,070"
SOUTH DAKOTA,EDMUNDS,"51,709"
WISCONSIN,ROCK,"51,810"
MISSOURI,HENRY,"52,000"
ILLINOIS,CLINTON,"52,555"
PENNSYLVANIA,LEBANON,"52,560"
ILLINOIS,SCHUYLER,"52,596"
OHIO,LICKING,"52,900"
NEBRASKA,YORK,"53,456"
NORTH CAROLINA,NASH,"53,583"
SOUTH DAKOTA,LINCOLN,"53,688"
IOWA,TAYLOR,"54,057"
IOWA,DICKINSON,"54,548"
NORTH CAROLINA,ANSON,"54,594"
IOWA,MADISON,"54,774"
MINNESOTA,WINONA,"55,061"
KANSAS,CLAY,"55,090"
NORTH CAROLINA,BRUNSWICK,"55,272"
INDIANA,NEWTON,"55,655"
NEBRASKA,NANCE,"56,069"
IOWA,JEFFERSON,"56,525"
