Company Name,Category,Street_Address,City,State_Parsed,ZIP_Parsed,Lat / Long,Capacity
Landus Cooperative,Grain,120 Third St.,Beaver,IA,50031,,"1,405,000 bus up; 517,000 bus fl."
"F.M. Brown'S Sons, Inc.",Flour mills,"120 W. Main St., P.O. Box 153",Fleetwood,PA,19522,,"5,000 cwts"
Stateline Cooperative,Grain,"120 Walnut St., P.O. Box 67",Burt,IA,50522,,"1,600,000 bus up; 2,700,000 bus fl."
"The Andersons, Inc.",Grain,"1200 E. 2850 N., P.O. Box 409",Mansfield,IL,61854,,"704,000 bus up."
"Bunge North America, Llc",Grain,1200 N. Second St.,Decatur,IN,46733,,"15,305,000 bus up."
Ardent Mills,Specialty Mills,1200 Putman Ave,Yuba City,CA,95991,,
Ardent Mills,Specialty Mills,1200 Putman Ave,Yuba City,CA,95991,,
Adm Milling Co.,Grain,"1200 S. Mill Rd., P.O. Box 958",Arkansas City,KS,67005,,"1,100,000 bus up."
Adm Milling Co.,Flour mills,"1200 S. Mill Rd., P.O. Box 958",Arkansas City,KS,67005,,"12,000 cwts"
"Attebury Grain, Inc.",Grain,1200 S.W.,Second Tulia,TX,79088,,"1,000,000 bus up"
The Krusteaz Co.,Flour mills,1200 Stevens Ave.,Effingham,IL,62401,,
The Krusteaz Co.,Mix Plants,1200 Stevens Ave.,Effingham,IL,62401,,
"Viterra Usa Grain, Llc",Grain,1201 W. State Rd. 114,Rensselaer (Pleasant Ridge),IN,47978,,"2,212,000 bus up; 1,014,000 bus fl"
"Gulf Rice Milling, Inc.",Specialty Mills,12010 Taylor Rd.,Houston,TX,77041,,"8,500 cwts"
"Attebury Grain, Inc.",Grain,1202 N.W. Fifth St.,Tulia,TX,79088,,"19,761,500 bus up"
"Viterra Usa Grain, Llc",Grain,1205 S.,Farragut Bay City,MI,48708,,"1,303,000 bus up."
"Attebury Grain, Inc.",Grain,1205 S.W.,Second Tulia,TX,79088,,"4,343,000 bus up"
"New Cooperative, Inc.",Grain,1208 Main St.,Moorland,IA,50566,,"3,604,000 bus up; 1,000,000 bus fl."
Landus Cooperative,Grain,"1209 North St., P.O. Box 80",Yale,IA,50277,,"2,360,000 bus up; 2,278,000 bus fl."
Star Of The West Milling Co.,Grain,121 E. Tuscola St.,Frankenmuth,MI,48734,,"18,040,893 bus up."
Star Of The West Milling Co.,Flour mills,121 E. Tuscola St.,Frankenmuth,MI,48734,,"5,960 cwts"
Star Of The West Milling Co.,Specialty Mills,121 E. Tuscola St.,Frankenmuth,MI,48734,,"1,500 cwts."
"Columbia Grain International, Llc",Grain,121 N. Division Ave.,Craigmont,ID,83523,,"3,000,000 bus up."
Alliance Grain Co.,Grain,"121 N. Maple St., P.O. Box 296",Cullom,IL,60929,,"2,439,000 bus up."
"Producers Rice Mill, Inc.",Grain,121 S. Kansas St.,Pine Bluff,AR,71601,,"1,964,000 bus up."
"Cargill, Incorporated",Grain,12100 Dakota Ave.,Savage,MN,55378,,"16,515,000 bus up."
Consolidated Grain & Barge Co.,Grain,12100 Yosemite Ave.,Savage,MN,55378,,
Savage Riverport,Grain,12100 Yosemite Ave.,Savage,MN,55378,,"9,276,000 bus up."
"Cargill, Incorporated",Grain,12101 Lynn Ave. S.,Savage,MN,55378,,
"The Andersons, Inc.",Grain,"1211 W. Hwy. 6, P.O. Box 128",Fairmont,NE,68354,,"712,000 bus up."
Archer Daniels Midland Co.,Grain,1213 Fifth St.,Henderson,KY,42420,,"615,871 bus up"
Sunrise Fs,Grain,1216 S. Water,Havana,IL,62644,,"1,185,000 bus up."
Archer Daniels Midland Co.,Grain,12170 River Rd.,Destrehan,LA,70047,,"6,432,000 bus up."
Central Milling Co.,Flour mills,122 E. Center St.,Logan,UT,84321,,"1,000 cwts."
Central Milling Co.,Mix Plants,122 E. Center St.,Logan,UT,84321,,
Pride Ag Resources,Grain,122 S. Main,Cimarron,KS,67835,,"1,255,000 bus up."
Pride Ag Resources,Grain,1220 S. Main,Jetmore,KS,67854,,"1,452,000 bus up"
"West Plains, Llc",Grain,1230 Ohio St.,Omaha,NE,68110,,"830,000 bus up."
"Harvest Rice, Inc.",Specialty Mills,1232 High St.,McGehee,AR,71654,,"9,765 cwts"
Agtegra Cooperative,Grain,"124 King Ave. N.E., P.O. Box 283",Highmore,SD,57345,,"3,500,000 bus up"
"Heartland Mill, Inc.",Flour mills,124 N. Hwy. 167,Marienthal,KS,67863,,"1,128 cwts"
"Heartland Mill, Inc.",Specialty Mills,124 N. Hwy. 167,Marienthal,KS,67863,,"1,128 cwts."
"Heartland Mill, Inc.",Specialty Mills,124 N. Hwy. 167,Marienthal,KS,67863,,700 cwts
"Heartland Mill, Inc.",Specialty Mills,124 N. Hwy. 167,Marienthal,KS,67863,,
"Heartland Mill, Inc.",Specialty Mills,124 N. Hwy. 167,Marienthal,KS,67863,,
"Heartland Mill, Inc.",Specialty Mills,124 N. Hwy. 167,Marienthal,KS,67863,,700 cwts
"Heartland Mill, Inc.",Specialty Mills,124 N. Hwy. 167,Marienthal,KS,67863,,
"Heartland Mill, Inc.",Specialty Mills,124 N. Hwy. 167,Marienthal,KS,67863,,700 cwts
"Bunge North America, Inc.",Grain,12442 River Rd.,Destrehan,LA,70047,,"6,421,000 bus up."
Heartland Co-Op,Grain,125 High St.,Kellogg,IA,50135,,"2,388,000 bus up; 1,246,000 bus fl."
Ardent Mills,Grain,125 S. Broad St.,Fremont,NE,68025,,"1,200,000 bus up."
"Riceland Foods, Inc.",Grain,125 soy dr,Stuttgart,AR,72160,,"7,498,000 bus up."
The Scoular Company,Grain,12501 W. Hwy. 50,Coolidge,KS,67836,,"6,500,000 bus up."
Mennel Grain – Jeffersonville,Grain,12574 State Rte. 41,Jeffersonville,OH,43128,,"1,200,000 bus up."
Almota Elevator Co.,Grain,"126 S. Main St., P.O. Box 617",Colfax,WA,99111,,"2,660,000 bus up"
Tyson Foods Local Grain Services (Commodity Purchasing Group),Grain,1262 U.S. Hwy. 17 S.,Elizabeth City,NC,27909,,"1,800,000 bus"
"California Cereal Products, Inc.",Specialty Mills,1267 14th St.,Oakland,CA,94607,,
"California Cereal Products, Inc.",Specialty Mills,1267 14th St.,Oakland,CA,94607,,"1,000 cwts"
"California Cereal Products, Inc.",Specialty Mills,1267 14th St.,Oakland,CA,94607,,
"California Cereal Products, Inc.",Specialty Mills,1267 14th St.,Oakland,CA,94607,,
"Perdue Agribusiness Grain, Llc (Grain & Oilseed)",Grain,1268 U.S. Hwy. 17 S.,Elizabeth City,NC,27909,,"1,750,000 bus up"
"The Andersons, Inc.",Grain,"1283 Conant St., P.O. Box 119",Maumee,OH,43537,,"2,240,000 bus up."
"Pioneer Flour Mills, Llc",Flour mills,129 E. Guenther St.,San Antonio,TX,78204,,"5,000 cwts."
"Pioneer Flour Mills, Llc",Specialty Mills,129 E. Guenther St.,San Antonio,TX,78204,,
"Pioneer Flour Mills, Llc",Mix Plants,129 E. Guenther St.,San Antonio,TX,78204,,
Consolidated Grain & Barge Co.,Grain,"13 Commerce St., P.O. Box 185",Nauvoo,IL,62354,,"3,632,000 bus up; 578,000 bus fl."
Northern Country Coop,Grain,"13 Commerce St., P.O. Box 337",Adams,MN,55909,,"1,677,000 bus up."
Agstate,Grain,13 N. Main,Alta,IA,51002,,"4,344,000 bus up; 3,883,000 bus fl."
"Efco Products, Inc.",Mix Plants,130 Smith St.,Poughkeepsie,NY,12601,,
Archer Daniels Midland Co.,Grain,1301 Miami St.,Toledo,OH,43605,,"9,795,000 bus up."
Adm Milling Co.,Flour mills,1301 N 4th St,Enid,OK,73701,,"15,000 cwts"
Adm Milling Co.,Grain,"1301 N. Fourth St., P.O. Box 1388",Enid,OK,73702,,"2,500,000 bus up."
P&H Milling Group,Flour mills,1301 Second Ave. S. Lethbridge,AB,,T1J 0E8,,"7,500 cwts"
P&H Milling Group,Specialty Mills,"1301 Second Ave. S., Lethbridge",AB,,T1J 0E8,,"3,900 cwts."
P&H Milling Group,Specialty Mills,"1301 Second Ave. S., Lethbridge",AB,,T1J 0E8,,300 cwts
Cargill Aghorizons,Grain,13020 127th Ave. Edmonton,AB,,T5L 4Z5,,"2,200,000 bus up"
Archer Daniels Midland Co.,Grain,13029 Nine Rd.,Plains,KS,67869,,"1,000,000 bus up"
"Ew Cooperative, Inc.",Grain,"1304 River Ave. S., P.O. Box 186",Belmond,IA,50421,,"6,972,000 bus up"
Alliance Grain Co.,Grain,1306 W. Eighth St.,Gibson City,IL,60936,,"7,070,000 bus up."
"Bartlett Milling Co., Lp",Flour mills,1307 Maple St.,Coffeyville,KS,67337,,"11,000 cwts"
Byrnes & Kiefer Co.,Mix Plants,131 Kline Ave.,Callery,PA,16024,,
Thresher Artisan Wheat —,Grain,131 N. 740,West Moreland,ID,83256,,"500,000 bus up."
"Zfs Creston, Llc",Specialty Mills,1310 E. Howard St.,Creston,IA,50801,,
"Bartlett Grain Company, Lp",Grain,1310 Fairfax Trafficway,Kansas City,KS,66115,,"10,732,000 bus up"
"Sanford Milling Co., Inc.",Flour mills,"1310 S. Nicholas St., P.O. Box 290",Henderson,NC,27536,,"1,000 cwts"
Consolidated Grain & Barge Co.,Grain,"132 Bunge Rd., Rte. 1",Tallulah,LA,71282,,"2,747,000 bus up."
Hansen-Mueller Co.,Grain,1321 Lewis Blvd.,Sioux City,IA,51105,,"2,764,976 bus up; 1,024,024 bus fl"
Hansen-Mueller Co.,Grain,1321 Lewis Blvd.,Sioux City,IA,51105,,"840,000 bus up"
"Columbia Grain International, Llc",Grain,13261 County Rd 354,Fairview,MT,59221,,"337,000 bus up"
Agtegra Cooperative,Grain,13264 392nd Ave.,Aberdeen,SD,57401,,"4,330,000 bus up."
"Viterra Usa Grain, Llc",Grain,1327 US-60,Clovis,NM,88101,,"3,992,000 bus up"
"Perdue Agribusiness Grain, Llc",Grain,133 Brierleys Mill Rd,Church Hill,MD,21623,,"1,175,000 bus up"
"Riceland Foods, Inc.",Grain,133 Dennis St,Wheatley,AR,72392,,"8,768,000 bus up."
"Brolite Products Co., Inc.",Mix Plants,1335 Schiferl Rd.,Bartlett,IL,60103,,
Archer Daniels Midland Co.,Grain,1337 W. Elevator St.,Snover,MI,48476,,"492,000 bus up"
Farmers Cooperative,Grain,134 S. Burlington Ave.,Exeter,NE,68351,,"1,792,369 bus up."
Agtegra Cooperative,Grain,13438 363rd Ave.,Craven,SD,57451,,"2,500,000 bus up."
Landus Cooperative,Grain,"1349 75th St., P.O. Box 17",Bradford,IA,50041,,"1,623,000 bus up; 1,934,000 bus fl."
Adm Corn Processing Division,Specialty Mills,"1350 Waconia Ave. S.W., P.O. Box 1445",Cedar Rapids,IA,52406,,
"The Andersons, Inc.",Grain,"13600 Anderson Rd., P.O. Box 248",White Pigeon,MI,49099,,"5,135,000 bus up; 460,000 bus fl."
Bay State Milling Co.,Specialty Mills,13643 CR 1307,Sterling,CO,80751,,
Agtegra Cooperative,Grain,13701 U.S. Hwy. 12,Andover,SD,57422,,"2,800,000 bus up."
"Cargill, Incorporated",Grain,"1387 N. Second St., P.O. Box 70155",Memphis,TN,38107,,
Azteca Milling,Specialty Mills,"1388 County Rd. U, P.O. Box 620",Plainview,TX,79072,,
Brant Flour Mills Ltd.,Specialty Mills,"14 Brant Mill Rd., P.O. Box 190",Scotland,ON,N0E 1R0,,700 cwts
Brant Flour Mills Ltd.,Specialty Mills,"14 Brant Mill Rd., P.O. Box 190",Scotland,ON,N0E 1R0,,400 cwts
Brant Flour Mills Ltd.,Specialty Mills,"14 Brant Mill Rd., P.O. Box 190",Scotland,ON,N0E 1R0,,
Star Of The West Milling Co.,Grain,14 Church St.,Quincy,MI,49082,,"1,545,000 bus up."
Star Of The West Milling Co.,Flour mills,14 Church St.,Quincy,MI,49082,,"3,400 cwts"
P&H Milling Group,Flour mills,140 King St. W.,Cambridge,ON,N3H 4T3,,"10,300 cwts"
P&H Milling Group,Specialty Mills,140 King St. W.,Cambridge,ON,N3H 4T3,,
"Brill, Inc.",Mix Plants,1400 W. 2700 N.,Pleasant View,UT,84404,,
"Bunge Milling, Inc.",Grain,1405 Norman St.,Crete,NE,68333,,"1,894,000 bus up"
Bunge Milling,Specialty Mills,1405 Norman St.,Crete,NE,68333,,"50,000 bus or more"
Bunge Milling,Specialty Mills,1405 Norman St.,Crete,NE,68333,,"5,500 cwts."
"Producer Ag, Llc",Grain,1407 25th Ave.,Canton,KS,67428,,"3,000,000 bus up; 6,000,000 bus fl."
Montana Gluten Free,Flour mills,141 Andrea Dr.,Belgrade,MT,59714,,
Montana Gluten Free,Specialty Mills,141 Andrea Dr.,Belgrade,MT,59714,,
Montana Gluten Free,Specialty Mills,141 Andrea Dr.,Belgrade,MT,59714,,
Montana Gluten Free,Specialty Mills,141 Andrea Dr.,Belgrade,MT,59714,,
Montana Gluten Free,Mix Plants,141 Andrea Dr.,Belgrade,MT,59714,,
"Cargill, Incorporated",Grain,1427 E. Second St.,Hutchinson,KS,67501,,
Byrd Mill,Flour mills,14471 Washington Hwy.,Ashland,VA,23005,,350 cwts
Byrd Mill,Specialty Mills,14471 Washington Hwy.,Ashland,VA,23005,,"12,000 bus"
Byrd Mill,Mix Plants,14471 Washington Hwy.,Ashland,VA,23005,,
"Mid-Columbia Producers, Inc.",Grain,1449 Bargeway Rd.,The Dalles,OR,97058,,"360,000 bus up."
Ardent Mills,Flour mills,145 W.,Broadway Alton,IL,62002,,"21,800 cwts"
Ardent Mills,Specialty Mills,145 W.,Broadway Alton,IL,62002,,
Ardent Mills,Specialty Mills,145 W.,Broadway Alton,IL,62002,,
Ardent Mills,Specialty Mills,145 W.,Broadway Alton,IL,62002,,
Ardent Mills,Grain,145 W. Broadway,Alton,IL,62002,,"2,500,000 bus up."
"Commerce City Grain, Llc",Grain,1451 Cargill Dr.,Denver,CO,80221,,"2,085,000 bus up."
"Perdue Agribusiness Grain, Llc",Grain,1461 Swindell Rd.,Pantego,NC,27860,,"800,000 bus up"
Archer Daniels Midland Co.,Grain,1463 N. Rte. 48,Taylorville,IL,62568,,"4,009,853 bus up; 1,587,576 bus fl."
Riverside Elevators Ltd.,Grain,"14712 State Hwy. 160, P.O. Box 668",Isleton,CA,95641,,"1,333,320 bus up."
Consolidated Grain & Barge Co.,Grain,1477 Meekers Landing Rd.,Burlington,IA,52601,,"643,000 bus up."
"Bartlett Grain Company, Lp",Grain,15 N.E. 60 Ave.,Great Bend,KS,67530,,"10,238,000 bus up"
The Scoular Company,Grain,15 Quail Run,Adrian,MO,64720,,"1,250,000 bus up."
Landus Cooperative,Grain,1500 N. Mulberry St.,Jefferson,IA,50129,,"8,852,000 bus up; 1,465,000 bus fl."
Consolidated Grain & Barge Co.,Grain,1500 Port Rd.,Friars Point,MS,38631,,"2,345,000 bus up."
Consolidated Grain & Barge Co.,Grain,1500 River Grain Rd.,Mayersville,MS,39113,,"1,401,000 bus up; 632,000 bus fl."
"The Andersons, Inc.",Grain,1500 S. Main St.,Galena Park,TX,77547,,"6,362,000 bus up."
Tyson Foods Local grain Services,Grain,15100 Co Rd. 785,Essex,MO,63846,,"1,000,000 bus"
Kerry,Mix Plants,1515 Park St.,Evansville,IN,47710,,
Ingredion,Specialty Mills,1515 S. Drover St.,Indianapolis,IN,46221,,"600,000 bus."
Ardent Mills (A Mill),Grain,1521 N. 16th St.,Omaha,NE,68110,,"525,000 bus up"
Ardent Mills (North Mill),Flour mills,1521 N. 16th St.,Omaha,NE,68110,,"7,000 cwts"
"Lewis-Clark Terminal, Inc.",Grain,1534 Third Ave. N.,Lewiston,ID,83501,,"6,000,000 bus up; 3,900,000"
The Scoular Company,Grain,"15379 Jasmine Rd., P.O. Box 48",Waverly,IL,62692,,"10,000,000 bus up."
"Pizza Blends, Llc",Mix Plants,1541 Vernon St.,North Kansas City,MO,64116,,
"Cargill, Incorporated",Grain,1545 N. Cable Rd.,Lima,OH,45805,,"2,091,000 bus up."
Agtegra Cooperative,Grain,15467 387th Ave.,Mellette,SD,57461,,"4,300,000 bus up"
Adm Milling Co. (Adm Agri-Industries Co.),Specialty Mills,155 Iberia Ave.,Candiac,QC,J5R 3H1,,"7,700 cwts"
"Sunwest Milling Co., Inc.",Specialty Mills,"1550 Drew Ave., Suite 150",Davis,CA,95618,,
"Sunwest Milling Co., Inc.",Specialty Mills,"1550 Drew Ave., Suite 150",Davis,CA,95618,,"8,000,000 cwts."
Port Of Portland Terminals,Grain,15660 N. Lombard,Portland,OR,97203,,"5,237,000 bus up."
Landus Cooperative,Grain,15695 Main St.,Kesley,IA,50649,,"667,000 bus up; 1,186,000 bus fl."
Azteca Milling,Specialty Mills,"15700 Hwy. 41 N, P.O. Box 23550",Evansville,IN,47724,,"13,333 bus."
Central Valley Ag,Grain,158 Webster St #4514,Monroe,NE,68647,,"2,000,000 bus up; 5,000,000 bus fl."
"Bunge Milling, Inc.",Specialty Mills,1580 Grinnell Rd.,Suite A Kankakee,IL,60901,,
"Bunge Milling, Inc.",Grain,"1580 Grinnell Rd., Suite A",Kankakee,IL,60901,,"1,073,000 bus up."
"Bunge Milling, Inc.",Specialty Mills,"1580 Grinnell Rd., Suite A",Kankakee,IL,60901,,
"Maple River Grain & Agronomy, Llc",Grain,"1581 First Ave. S., P.O. Box 568",Casselton,ND,58012,,"4,250,000 bus up;"
"Cargill, Incorporated",Grain,1585 E. Illinois Rte. 71,Ottawa,IL,61350,,"1,452,000 bus up."
"Co-Alliance, Llp",Grain,16 S. County Rd. 1100E,Frankfort,IN,46041,,"3,500,000 bus up; 3,000,000 bus fl."
"Perdue Agribusiness Grain, Llc",Grain,1601 Campbell St.,Hopkinsville,KY,42240,,"498,873 bus up"
Adm Rice,Specialty Mills,1603 Old Hwy. 99 W.,Arbuckle,CA,95912,,
"Ag Processing, Inc.",Specialty Mills,"1605 19th St. S.W., P.O. Box 1068",Mason City,IA,50401,,
"Mfa, Inc.",Grain,"1605 Radio Hill Rd., P.O. Box 6",Boonville,MO,65233,,"2,274,000 bus up."
"Perdue Agribusiness Grain, Llc",Grain,1609 River Rd.,Marietta,PA,17547,,"1,300,000 bus up."
"Highland Milling, Llc",Specialty Mills,161 2nd St N,Bancroft,ID,83217,,600 cwts
"Highland Milling, Llc",Specialty Mills,161 2nd St N,Bancroft,ID,83217,,"4,000 cwts"
"Highland Milling, Llc",Specialty Mills,161 2nd St N,Bancroft,ID,83217,,
"Highland Milling, Llc",Specialty Mills,161 2nd St N,Bancroft,ID,83217,,800 cwts
"Highland Milling, Llc",Specialty Mills,161 2nd St N,Bancroft,ID,83217,,600 cwts.
"Highland Milling, Llc",Specialty Mills,161 2nd St N,Bancroft,ID,83217,,600 cwts.
Archer Daniels Midland Co.,Grain,16100 Third St.,Seward,IL,61077,,"3,344,000 bus up."
"Cargill, Incorporated",Grain,"16150 Peninsula St., P.O. Box 220",Houston,TX,77015,,"6,713,000 bus up"
"Sunfoods, Llc",Specialty Mills,"1620 E. Kentucky Ave., P.O. Box 8729",Woodland,CA,95776,,700 cwts.
"Perdue Agribusiness Grain, Llc",Grain,1623 N. Greene St.,Greenville,NC,27834,,"824,000 bus up."
"Grain Millers, Inc.",Specialty Mills,1626 S. Joaquin Dr.,Marion,IN,46953,,
"Grain Millers, Inc.",Specialty Mills,1626 S. Joaquin Dr.,Marion,IN,46953,,
"Grain Millers, Inc.",Specialty Mills,1626 S. Joaquin Dr.,Marion,IN,46953,,
The Scoular Company,Grain,1632 Main St.,Goodland,KS,67735,,"2,000,000 bus up"
Aurora Cooperative Elevator Co.,Grain,"1639 Harvest Dr., P.O. Box 209",Aurora,NE,68818,,"1,600,000 bus up"
"Perdue Agribusiness Grain, Llc",Grain,16447 Adams Rd.,Bridgeville,DE,19933,,"2,390,000 bus up."
Frenchman Valley Farmers Co-Op,Grain,"16515 County Rd. 14, P.O. Box 526",Chappell,NE,69129,,"5,500,000 bus up."
"Viterra Usa Grain, Llc",Grain,1653 S. Fourth Rd.,Huntley,MT,59037,,"800,000 bus up"
"Cargill, Incorporated",Grain,"1657 W. Front St., P.O. Box 558",Buffalo,IA,52728,,"1,036,000 bus up."
"Perdue Agribusiness Grain, Llc",Grain,1671 Waverly Ave.,Kilmarnock,VA,22482,,"600,000 bus up"
Archer Daniels Midland Co.,Grain,1673 Growmark Lane,Naples,IL,62669,,"286,000 bus up."
"Bunge North America, Inc.",Grain,16755 274th Rd.,Atchison,KS,66002,,"10,788,000 bus up."
Bunge Milling,Specialty Mills,16755 274th Rd.,Atchison,KS,62002,,"50,000 or more bus"
Bunge Milling,Specialty Mills,16755 274th Rd.,Atchison,KS,62002,,
Archer Daniels Midland Co.,Grain,"16994 Wright Rd., P.O. Box 416",Grand Ledge,MI,48837,,"4,298,174 bus up."
"Viterra Usa Grain, Llc",Grain,1700 E. Front St.,Fremont,NE,68025,,"1,724,000 bus up."
Phm Brands Co.,Specialty Mills,1700 E. U.S. Hwy 12,Michigan City,IN,46360,,
Landus Cooperative,Grain,1700 S. Pleasant Hill Blvd.,Pleasant Hill,IA,50327,,"1,061,000 bus up."
Tamaki Rice Corp.,Specialty Mills,1701 Abel Rd.,Williams,CA,95987,,
Tom Soya Grain Co.,Grain,1701 Old Hwy. 50,West Point,MS,39773,,"567,000 bus up."
"Cargill, Incorporated",Specialty Mills,1710 16th St. S.E.,Cedar Rapids,IA,52401,,
"Ray-Carroll County Grain Growers, Inc. 17149 Hwy. 24",Grain,17149 Hwy. 24,Brunswick,MO,65236,,"5,885,000 bus up."
Consolidated Grain & Barge Co.,Grain,1716 Levee St.,Vicksburg,MS,39183,,"1,127,000 bus up."
"Cargill, Incorporated",Specialty Mills,1730 W. Michigan St.,Indianapolis,IN,46222,,
"Cargill, Incorporated",Specialty Mills,1730 W. Michigan St.,Indianapolis,IN,46222,,
Northern Country Coop,Grain,"174 First Ave. W., P.O. Box 295",Alden,MN,56009,,"1,116,000 bus up."
Kerry,Mix Plants,1751 Enterprise Dr.,Sturtevant,WI,53177,,
Prairie Central Co-Op,Grain,17553 E. 2000 N.,Pontiac,IL,61764,,"15,245,000 bus up."
"Brill, Inc.",Mix Plants,1765 Yankee Doodle Rd.,St. Paul (Eagan),MN,55121,,
Adm Milling Co.,Flour mills,1770 Barbertown Rd.,Mississauga,ON,L5M 2M5,,"6,200 cwts"
"Topflight Grain Coop, Inc.",Grain,178 900 N,Waynesville,IL,61778,,"1,727,650 bus up."
Agstate,Grain,1800 11th St,Emmetsburg,IA,50536,,"1,186,000 bus up; 117,000 bus fl."
"Beaumont Rice Mills, Inc.",Specialty Mills,1800 Pecos St.,Beaumont,TX,77701,,
Consolidated Grain & Barge Co.,Grain,1800 Riverfront Rd,Van Buren,AR,72957,,"837,000 bus up."
"Perdue Agribusiness Grain, Llc",Grain,1801 Godwin Ave.,Lumberton,NC,28358,,"500,000 bus up."
"Cargill, Incorporated",Specialty Mills,18049 County Rd. 8E,Wahpeton,ND,58075,,
Penny-Newman Grain Co.,Grain,1805 Harbor Rd.,Stockton,CA,95203,,"2,733,306 bus up; 2,533,308 bus fl."
Archer Daniels Midland Co.,Grain,181 N. Front St.,Scott City,KS,67871,,"995,000 bus up."
New Hope Mills,Flour mills,181 York St.,Auburn,NY,13021,,
New Hope Mills,Mix Plants,181 York St.,Auburn,NY,13021,,
Archer Daniels Midland Co.,Grain,"1811 Dock St., P.O. Box 13304",Memphis,TN,38113,,"2,500,000 bus up"
Archer Daniels Midland Co.,Grain,1811 S. Fourth St.,Clinton,IA,52732,,"780,000 bus up"
Adm Corn Processing Division,Specialty Mills,1811 S. Fourth St.,Clinton,IA,52732,,
"Columbia Grain International, Llc",Grain,"1820 12th Ave. N., P.O. Box 1969",Great Falls,MT,59401,,"413,000 bus up"
North Dakota Mill & Elevator Association,Flour mills,1823 Mill Rd.,Grand Forks,ND,58203,,
North Dakota Mill & Elevator Association,Specialty Mills,1823 Mill Rd.,Grand Forks,ND,58203,,"6,000 cwts."
North Dakota Mill & Elevator Association,Specialty Mills,1823 Mill Rd.,Grand Forks,ND,58203,,"3,000 cwts"
Ardent Mills,Grain,1843 Hwy. One S. Port,Allen,LA,70767,,"251,000 bus up. Rec: Barge/Ra"
Ardent Mills,Flour mills,1843 Hwy. One S. Port,Allen,LA,70767,,"5,500 cwts."
"Cargill, Incorporated",Grain,1845 N.W. Gordon St.,Topeka,KS,66618,,"42,414,000 bus up."
"Agrex, Inc.",Grain,"1850 Alabama Docks, Pier D, Eleventh St",Mobile,AL,36603,,"3,500,000 bus up."
Grain Craft,Grain,1861 E. 55th St.,Los Angeles,CA,90058,,"815,000 bus up"
Grain Craft,Flour mills,1861 E. 55th St.,Los Angeles,CA,90058,,"14,800 cwts"
Ardent Mills,Flour mills,1875 Lawrence St.,Denver,CO,80202,,
Ardent Mills,Specialty Mills,1875 Lawrence St.,Denver,CO,80202,,
Ardent Mills,Specialty Mills,1875 Lawrence St.,Denver,CO,80202,,
Ardent Mills,Specialty Mills,1875 Lawrence St.,Denver,CO,80202,,
"Cargill, Incorporated",Grain,1877 Channel Ave.,Memphis,TN,38113,,"5,922,000 bus up"
Archer Daniels Midland Co.,Grain,1884A E. Old Hwy. 40,New Cambria,KS,67470,,"4,100,000 bus up; 1,000,000 bus fl."
Archer Daniels Midland Co.,Grain,1892 N. Hwy. 83,Sublette,KS,67877,,"2,753,290 bus up"
"Perdue Agribusiness Grain, Llc",Grain,1897 River Rd.,Bainbridge,PA,17547,,"1,620,000 bus up."
Champlain Valley Milling Corp.,Flour mills,19 Myers Way,Willsboro,NY,12996,,480 cwts
Champlain Valley Milling Corp.,Specialty Mills,19 Myers Way,Willsboro,NY,12996,,
Champlain Valley Milling Corp.,Specialty Mills,19 Myers Way,Willsboro,NY,12996,,"1,000 bus"
Champlain Valley Milling Corp.,Specialty Mills,19 Myers Way,Willsboro,NY,12996,,
Champlain Valley Milling Corp.,Specialty Mills,19 Myers Way,Willsboro,NY,12996,,400 cwts.
Champlain Valley Milling Corp.,Mix Plants,19 Myers Way,Willsboro,NY,12996,,
Ardent Mills,Grain,1900 Industry Dr.,Culpeper,VA,22701,,"2,100,000 bus up"
Ardent Mills,Flour mills,1900 Industry Dr.,Culpeper,VA,22701,,"12,000 cwts."
Adm Milling Co.,Grain,"1901 E. Wyatt Earp Blvd., P.O. Box 400",Dodge City,KS,67801,,"1,050,000 bus up."
Adm Milling Co.,Specialty Mills,"1901 E. Wyatt Earp Blvd., P.O. Box 400",Dodge City,KS,67801,,"2,400 cwts"
Adm Milling Co.,Specialty Mills,"1901 E. Wyatt Earp Blvd., P.O. Box 400",Dodge City,KS,67801,,"2,400 cwts"
Adm Milling Co.,Specialty Mills,"1901 E. Wyatt Earp Blvd., P.O. Box 400",Dodge City,KS,67801,,"2,800 cwts."
Archer Daniels Midland Co.,Grain,1901 S. Sherman Dr.,Indianapolis (Beech Grove),IN,46203,,"11,576,019 bus up."
United Grain Corp.,Grain,1905 N.W. Harborside Dr.,Vancouver,WA,98660,,"8,000,000 bus up"
Archer Daniels Midland Co.,Grain,1912 N 2753rd Rd,Ottawa,IL,61350,,"107,000 bus up; 500,000 bus fl."
"Perdue Agribusiness Grain, Llc",Grain,19125 Greenbush Rd.,Parksley,VA,23421,,"1,200,000 bus up"
Bay State Milling Co.,Grain,"19150 S.W. Warfield Blvd., P.O. Box 1280",Indiantown,FL,34956,,"850,000 bus up."
Bay State Milling Co.,Flour mills,"19150 S.W. Warfield Blvd., P.O. Box 1280",Indiantown,FL,34956,,"13,200 cwts"
Archer Daniels Midland Co. (Beemer Grain),Grain,1918 12 Rd.,Wisner,NE,68791,,"2,500,000 bus up"
"New Cooperative, Inc.",Grain,1919 Hwy. 141,Sloan,IA,51055,,"4,526,000 bus up; 616,000 bus fl."
