Company Name,Category,Street_Address,City,State_Parsed,ZIP_Parsed,Lat / Long,Capacity
United Cooperative,Grain,101 Clinton St.,Horicon,WI,53032,,"4,553,823 bus up"
Alliance Grain Co.,Grain,101 E. Melvin St.,Melvin,IL,60952,,"775,000 bus up."
Archer Daniels Midland Co.,Grain,101 N County Road 2 #1/2,Leoti,KS,67861,,"520,000 bus up"
"Cargill, Incorporated",Grain,"101 N. Water St., P.O. Box 65",Lacon,IL,61540,,"440,000 bus up."
Ardent Mills,Grain,101 Normanskill St.,Albany,NY,12202,,"996,000 bus up."
Ardent Mills,Flour mills,101 Normanskill St.,Albany,NY,12202,,"23,500 cwts"
"Premier Cooperative, Inc.",Grain,101 Railroad St.,Royal,IL,61871,,"6,500,000 bus up."
Pride Ag Resources,Grain,101 S.,Main Beeler,KS,67518,,"931,000 bus up"
Archer Daniels Midland Co.,Grain,101 S. Progressive Rd.,Hereford,TX,79045,,"3,845,000 bus up"
Ardent Mills,Grain,101 Water St.,Chester,IL,62233,,"1,000,000 bus up."
Ardent Mills,Flour mills,"101 Water St., P.O. Box 369",Chester,IL,62233,,"10,000 cwts"
"The Andersons, Inc.",Grain,101-267 Edwin Dr.,Toledo,OH,43609,,"6,732,000 bus up."
"Columbia Grain International, Llc",Grain,1010 Hill St.,Grangeville,ID,83530,,"2,900,000 bus up."
Assumption Co-Op Grain Co.,Grain,1011 Railroad St.,Palmer,IL,62556,,"1,156,000 bus up; 1,045,000 bus fl."
"Producers Rice Mill, Inc.",Grain,1014 W 2nd St,DeWitt,AR,72042,,"2,079,000 bus up."
"Attebury Grain, Inc. (Enid)",Grain,1015 N.,Van Buren Enid,OK,73702,,"3,078,000 bus up."
Agwrx Cooperative,Grain,102 7th Ave.,Wallace,SD,57272,,
"Riceland Foods, Inc.",Grain,102 E. Darden,Grubbs,AR,72431,,"2,849,000 bus up."
Landus Cooperative,Grain,102 First Ave. N.,Altoona,IA,50009,,"1,022,000 bus up."
Landus Cooperative,Grain,"102 Lincoln St. N.E., P.O. Box 9",Bondurant,IA,50035,,"4,470,000 bus up; 948,000 bus fl."
Landus Cooperative,Grain,102 Maple St.,Buckeye,IA,50006,,"1,792,000 bus up."
Pride Ag Resources,Grain,102 N. Main,Ingalls,KS,67853,,"996,000 bus up"
"Supreme Rice, Llc",Specialty Mills,102 S. 13th St.,Mermentau,LA,70556,,
"Viterra Usa Grain, Llc",Grain,1020 Port Authority Rd.,Eddyville,KY,42038,,"71,000 bus up"
Landus Cooperative,Grain,1023 Fifth Ave. S.,Denison,IA,51442,,"664,000 bus up"
Landus Cooperative,Grain,103 E. Sherman St.,Casey,IA,50048,,"3,432,000 bus up"
Deland Farmer’S Coop Grain,Grain,103 Lane St.,Lane,IL,61750,,"994,002 bus up."
"Columbia Grain International, Llc",Grain,103 N. L Street,Lind,WA,99341,,"10,000,000 bus up"
Alliance Grain Co.,Grain,"103 S. Main, P.O. Box 57",Cropsey,IL,61731,,"2,223,000 bus up."
"Michigan Agricultural Commodities, Inc.",Grain,"103 Water St., P.O. Box 547",Newaygo,MI,49337,,"3,300,000 bus up"
"Bartlett Grain Company, Lp",Grain,1030 Ave. L,Council Bluffs,IA,51503,,"2,282,000 bus up"
Consolidated Grain &Barge Co.,Grain,10305 Hwy. 79 S.,Louisiana,MO,63353,,"2,059,000 bus up"
Hansen-Mueller Co.,Grain,1031 N.,Topping Kansas City,MO,64120,,"4,268,000 bus up."
The Scoular Company,Grain,10333 N.E. 30th St.,Pratt,KS,67124,,"5,500,000 bus up"
Gilster Mary Lee Corp.,Mix Plants,"1037 State St., P.O. Box 227",Chester,IL,62233,,
Cpi,Grain,"104 Main St., P.O. Box 98",Funk,NE,68940,,"2,529,000 bus up; 2,883,000 bus fl."
Aurora Cooperative Elevator Co.,Grain,"104 S. Dakota, P.O. Box 401",Superior,NE,68978,,"1,800,000 bus up"
The Scoular Company,Grain,104 S. Freeman,Oakley,KS,67748,,"2,119,000 bus up."
"Viterra Usa Grain, Llc",Grain,"104 S. Front St., P.O. Box 96",Joice,IA,50446,,"2,486,300 bus up; 2,801,700 bus fl."
Assumption Co-Op Grain Co.,Grain,104 W. North St.,Assumption,IL,62510,,"2,058,000 bus up; 265,000 bus fl."
"Hopkinsville Elevator Co., Inc.",Grain,1040 Skyline Dr,Hopkinsville,KY,42240,,"2,845,000 bus up"
"Honeyville, Inc.",Flour mills,1040 W. 600 N.,Ogden,UT,84404,,"2,880 cwts."
"Honeyville, Inc.",Specialty Mills,1040 W. 600 N.,Ogden,UT,84404,,
"Honeyville, Inc.",Specialty Mills,1040 W. 600 N.,Ogden,UT,84404,,
"Honeyville, Inc.",Specialty Mills,1040 W. 600 N.,Ogden,UT,84404,,
"Honeyville, Inc.",Specialty Mills,1040 W. 600 N.,Ogden,UT,84404,,"84,000 cwts"
"Honeyville, Inc.",Specialty Mills,1040 W. 600 N.,Ogden,UT,84404,,
"Honeyville, Inc.",Specialty Mills,1040 W. 600 N.,Ogden,UT,84404,,
"Honeyville, Inc.",Specialty Mills,1040 W. 600 N.,Ogden,UT,84404,,"72,000 cwts."
"Honeyville, Inc.",Specialty Mills,1040 W. 600 N.,Ogden,UT,84404,,
"Honeyville, Inc.",Mix Plants,1040 W. 600 N.,Ogden,UT,84404,,
"Riceland Foods, Inc.",Grain,10442 South St,Dudley,MO,63936,,"1,632,000 bus up"
